Périmètre,Surface évaluée,Volume
"32,48","58,60835556","76,19086222"
"29,62","48,747938","63,3723194"
"23,11","29,68094422","38,58522749"
"33,03","60,61005","78,793065"
"20,96","24,39744089","31,71667316"
"31,76","56,04581356","72,85955762"
"31,24","54,21875556","70,48438222"
"29,68","48,925832","63,6035816"
"25,52","36,1845245","47,03988185"
"16,17","14,52245689","18,87919396"
"34,45","65,91433472","85,68863514"
"26,51","39,0286125","50,73719625"
"32,14","57,36990139","74,58087181"
"27,12","40,8698405","53,13079265"
"31,71","55,8730205","72,63492665"
"35,67","70,69397689","91,90216996"
"35,70","70,78913422","92,02587449"
"19,60","21,34222222","27,74488889"
"20,46","23,24710756","30,22123982"
"26,67","39,52197689","51,37856996"
"30,28","50,95114756","66,23649182"
"26,12","37,90012006","49,27015607"
"26,10","37,83050139","49,17965181"
"32,62","59,09656806","76,82553847"
"28,27","44,38390139","57,69907181"
"25,58","36,35202222","47,25762889"
"25,96","37,43432022","48,66461629"
"30,85","52,86318939","68,72214621"
"22,84","28,99157422","37,68904649"
"34,17","64,86605","84,325865"
"29,31","47,73296356","62,05285262"
"27,74","42,762752","55,5915776"
"21,50","25,67816672","33,38161674"
"27,06","40,69222756","52,89989582"
"37,14","76,6198205","99,60576665"
"28,74","45,87223472","59,63390514"
"23,87","31,648968","41,1436584"
"32,38","58,2444245","75,71775185"
"25,73","36,78532356","47,82092062"
"19,88","21,965192","28,5547496"
"22,62","28,4333405","36,96334265"
"24,13","32,33956272","42,04143154"
"27,35","41,55376672","54,01989674"
"34,58","66,447392","86,3816096"
"23,55","30,81386672","40,05802674"
"23,25","30,01833472","39,02383514"
"21,02","24,55136022","31,91676829"
"21,60","25,91520022","33,68976029"
"24,84","34,27644006","44,55937207"
"26,74","39,70890139","51,62157181"
"21,83","26,46766272","34,40796154"
"25,77","36,90550422","47,97715549"
"25,26","35,4397805","46,07171465"
"26,31","38,45352672","49,98958474"
"19,71","21,59121089","28,06857416"
"28,14","43,9922","57,18986"
"23,69","31,18656939","40,54254021"
"26,97","40,4010605","52,52137865"
"30,08","50,26702222","65,34712889"
"25,07","34,928082","45,4065066"
"27,56","42,209672","54,8725736"
"30,92","53,12399606","69,06119487"
"21,64","26,0136845","33,81778985"
"21,63","25,98003472","33,77404514"
"27,85","43,09942272","56,02924954"
"24,82","34,21850689","44,48405896"
"31,03","53,48192939","69,52650821"
"29,11","47,07733889","61,20054056"
"24,99","34,70000356","45,11000462"
"26,22","38,1938","49,65194"
"29,24","47,49550672","61,74415874"
"24,21","32,55707022","42,32419129"
"26,08","37,78122689","49,11559496"
"36,52","74,11125422","96,34463049"
"27,15","40,95728356","53,24446862"
"27,66","42,51649422","55,27144249"
"23,48","30,62574672","39,81347074"
"23,36","30,310898","39,4041674"
"22,43","27,945288","36,3288744"
,,
,,"4252,759742"
